"ch1","ch1re","ch1fi","ch1bi","ch1refi","ch1rebi","ch4","ch4re","ch4fi","ch4bi","ch4refi","ch4rebi"
4424,3440,3104,3150,3400,3297,587,545,547,547,545,545
3900,3346,3066,3015,3250,3229,589,537,537,531,537,537
3495,2989,3495,3495,2975,2762,546,505,546,546,505,505
4035,3449,3017,3125,3404,3090,571,518,518,518,518,518
4212,3289,3225,3063,3289,3289,603,585,603,603,585,585
4542,3131,3038,2651,3131,3131,476,447,476,476,447,447
4583,3431,4583,4583,3431,3431,545,530,542,542,530,530
4842,3554,3234,3312,3425,3417,747,665,665,663,665,665
3944,3223,2838,2956,3184,2956,282,273,282,282,273,273
4430,3187,3048,2747,2717,2787,343,325,343,343,325,325
4505,3299,3247,3053,3150,3150,242,230,235,233,230,230
4378,3307,4378,4378,3226,2620,265,251,252,252,251,251
4178,3221,3085,3071,3070,3124,234,220,225,222,220,220
3788,3046,3788,3788,3017,2974,247,227,233,233,227,227
3496,2762,3496,3496,2762,2762,325,313,311,309,313,313
4894,3403,3336,3211,3393,3393,321,312,312,310,312,312
4503,3482,3390,3249,3346,2890,304,291,304,304,288,288
2069,1680,1524,1369,1576,1576,157,142,142,142,138,138
2670,2117,2072,1756,2113,1701,167,164,161,161,164,164
2151,1759,1648,1522,1679,1551,163,157,163,163,157,157
2423,1981,1744,1785,1981,1981,142,135,141,141,135,135
2022,1738,1733,1655,1738,1738,192,180,176,175,180,180
4518,3780,3625,3530,3780,3780,281,271,272,272,271,271
4508,3915,4508,4508,3915,3915,283,262,283,283,262,262
5028,3360,3309,3170,3256,3177,256,245,245,240,243,243
4830,3961,3811,3861,3745,3714,271,242,271,271,242,242
4838,3762,3666,3234,3762,3762,259,242,244,244,242,242
2777,2300,1822,1706,2222,1783,76,75,76,76,75,75
2373,1879,1795,1307,1546,1523,87,83,79,79,83,83
2698,2092,2092,1830,2092,2092,89,86,85,85,84,84
2705,2220,2103,2069,2012,1944,89,83,83,83,83,83
2776,2046,1769,1770,2046,2046,80,77,74,74,77,77
5951,4551,4506,4321,4288,4348,256,241,244,244,241,241
5497,4279,5497,5497,4196,3821,250,227,229,229,227,227
5253,4102,3849,3700,3768,3466,271,259,261,261,259,259
5288,4248,4255,4066,4178,3784,258,239,240,238,239,239
5787,4196,5787,5787,3918,4065,233,223,222,221,223,223
3218,2436,2399,2058,2003,2103,70,66,70,70,66,66
2576,2061,1700,1860,1807,1866,72,69,70,70,69,69
3504,2710,3504,3504,2525,2498,82,77,82,82,77,77
2779,2076,2043,1845,2063,1793,71,67,68,68,64,64
3514,2536,2504,2271,2536,2536,71,68,71,71,65,65
1845,1225,1191,1026,1215,1006,30,30,30,30,30,30
1748,1278,1152,976,1090,1146,36,34,34,33,34,34
1978,1448,1536,1417,1448,1448,32,31,31,31,31,31
2270,1848,1465,1267,1589,1566,32,31,32,32,31,31
2310,1789,1411,1377,1477,1313,31,30,31,31,30,30
917,708,646,500,560,560,16,16,15,15,15,15
791,609,433,353,609,609,16,16,16,16,16,16
1182,897,809,477,613,656,17,17,17,17,17,17
1156,1058,887,791,1058,1058,17,17,17,17,17,17
1437,1260,854,828,553,694,16,15,16,16,15,15
7411,5833,5716,5658,5770,5770,201,188,201,201,188,188
6967,5622,5624,5064,5592,5592,179,169,179,179,169,169
7688,5890,5809,5707,5767,5684,192,179,192,192,179,179
7561,5672,5358,5358,5612,5425,186,178,186,186,177,177
7443,5606,5232,5382,5606,5606,191,175,191,191,175,175
4106,3214,2811,2910,2656,2813,72,70,70,68,69,69
4260,3389,3284,3040,3348,3257,74,73,74,74,72,72
4169,3009,2791,2644,2811,2876,69,65,66,66,65,65
3345,2832,2809,2424,2703,2680,67,66,67,67,66,66
3412,2812,2809,2680,2812,2812,63,61,63,63,61,61